x,y,z,setosa,versicolor,virginica
3,6.1,Iris-virginica,0,0,1
2.8,6.4,Iris-virginica,0,0,1
3,7.2,Iris-virginica,0,0,1
2.8,7.4,Iris-virginica,0,0,1
3.8,7.9,Iris-virginica,0,0,1
2.8,6.4,Iris-virginica,0,0,1
2.8,6.3,Iris-virginica,0,0,1
2.6,6.1,Iris-virginica,0,0,1
3,7.7,Iris-virginica,0,0,1
3.4,6.3,Iris-virginica,0,0,1
3.1,6.4,Iris-virginica,0,0,1
3,6,Iris-virginica,0,0,1
3.1,6.9,Iris-virginica,0,0,1
3.1,6.7,Iris-virginica,0,0,1
3.1,6.9,Iris-virginica,0,0,1
2.7,5.8,Iris-virginica,0,0,1
3.2,6.8,Iris-virginica,0,0,1
3.3,6.7,Iris-virginica,0,0,1
3,6.7,Iris-virginica,0,0,1
2.5,6.3,Iris-virginica,0,0,1
3,6.5,Iris-virginica,0,0,1
3.4,6.2,Iris-virginica,0,0,1
3,5.9,Iris-virginica,0,0,1
